opt_id,class_id,prob
202219,1,0.8669601678848267
212552,0,0.0001963973045349121
210768,0,0.0
215400,0,0.0
215930,1,0.8669601678848267
214446,0,0.0
210592,0,0.0
219183,0,0.0
219235,0,0.0
219228,0,0.0
219237,0,0.0
219230,0,0.0
217983,1,0.8669601678848267
219178,0,0.0
219177,0,0.0
219225,0,0.0
219232,0,0.0
220997,0,0.0
220885,0,0.0
215863,0,0.0
216922,0,0.12603545188903809
218208,0,0.0
216928,0,0.0
218004,1,0.9386141896247864
209580,0,9.179115295410156e-06
216924,0,0.0
216923,0,4.172325134277344e-06
209585,0,0.0013226866722106934
209588,0,0.0
209587,0,0.0007781982421875
209897,0,0.16055387258529663
216929,0,4.172325134277344e-06
215929,0,4.172325134277344e-06
209899,0,0.0013226866722106934
209898,0,9.179115295410156e-06
209892,0,0.16055387258529663
209578,0,9.179115295410156e-06
216927,0,4.172325134277344e-06
216925,0,4.172325134277344e-06
215928,0,4.172325134277344e-06
209547,0,0.0
216926,0,4.172325134277344e-06
220764,0,0.0
217994,0,0.0018785595893859863
221232,0,0.0
220760,0,0.0
223185,0,0.0
211805,0,0.0
208838,0,0.0
207985,0,0.0
203539,0,0.0
215555,0,0.0
203907,0,0.0
224596,0,0.0
216690,0,0.0
224485,0,0.09407395124435425
224442,0,5.125999450683594e-06
224445,0,5.125999450683594e-06
203545,0,0.0
224504,0,0.09407395124435425
225875,0,0.0006926059722900391
224436,0,5.125999450683594e-06
224512,1,0.9641980528831482
205178,0,0.0
227529,0,0.0
227582,1,0.8669601678848267
224475,0,0.09407395124435425
224465,0,5.125999450683594e-06
224443,0,5.125999450683594e-06
224456,0,5.125999450683594e-06
207761,0,1.0728836059570312e-06
223709,0,0.0
226055,0,0.0
223850,0,0.0010102391242980957
226776,0,0.0036776065826416016
226891,0,0.0
226580,0,0.0
222896,0,0.0
215867,1,0.8120502233505249
226953,0,5.125999450683594e-06
226956,0,0.0008899569511413574
226779,0,5.125999450683594e-06
228325,0,5.125999450683594e-06
228402,0,5.125999450683594e-06
208836,0,0.0
226952,0,5.125999450683594e-06
216686,0,5.7220458984375e-05
208841,0,0.0
217840,0,0.026702582836151123
